harbor_name,geometry
Rønbjerg,0103000020E61000000100000006000000A3570394865222402F50526001724C40A357039486522240D94125AE63724C409CF86A4771562240D94125AE63724C409CF86A47715622402F50526001724C40AC3B16DBA45222402F50526001724C40A3570394865222402F50526001724C40
Nykøbing Mors og Ørodde Havn,0103000020E61000000100000006000000647616BD53B92140D578E92631644C40647616BD53B9214061360186E5654C406D567DAEB6C2214061360186E5654C406D567DAEB6C22140D578E92631644C40AE450BD0B6BA2140D578E92631644C40647616BD53B92140D578E92631644C40
Glyngøre Havn,0103000020E61000000100000006000000D25625917DB8214045BA9F5390614C40D25625917DB8214067D5E76A2B624C40D0EE906280BC214067D5E76A2B624C40D0EE906280BC214045BA9F5390614C40D6A9F23D23B9214045BA9F5390614C40D25625917DB8214045BA9F5390614C40
Sundsøre Lystbådehavn,0103000020E61000000100000006000000B81E85EB51582240A69BC420B05A4C40B81E85EB5158224073F56393FC5A4C40B4C876BE9F5A224073F56393FC5A4C40B4C876BE9F5A2240A69BC420B05A4C403ACD02ED0E592240A69BC420B05A4C40B81E85EB51582240A69BC420B05A4C40
Branden Bro,0103000020E61000000100000006000000CBD58F4DF20B22406E85B01A4B664C40CBD58F4DF20B2240AEBA0ED594664C40CA6DFB1EF50F2240AEBA0ED594664C40CA6DFB1EF50F22406E85B01A4B664C40E547FC8A350C22406E85B01A4B664C40CBD58F4DF20B22406E85B01A4B664C40
Fur,0103000020E610000001000000060000009CC420B072082240A08D5C37A5664C409CC420B072082240D7A3703D0A674C403C139A24960C2240D7A3703D0A674C403C139A24960C2240A08D5C37A5664C402657B1F84D092240A08D5C37A5664C409CC420B072082240A08D5C37A5664C40
Hvalpsund Fiskerihavn,0103000020E61000000100000006000000FBB2B45373612240A8C64B3789594C40FBB2B4537361224060E5D022DB594C403108AC1C5A64224060E5D022DB594C403108AC1C5A642240A8C64B3789594C40AA27F38FBE612240A8C64B3789594C40FBB2B45373612240A8C64B3789594C40
Hvalpsund Lystbådehavn,0103000020E61000000100000006000000F20698F90E6622403C6C2233175A4C40F20698F90E662240DF4F8D976E5A4C4062105839B4682240DF4F8D976E5A4C4062105839B46822403C6C2233175A4C40EE06D15AD16622403C6C2233175A4C40F20698F90E6622403C6C2233175A4C40
Haverslev,0103000020E61000000100000005000000EC51B81E85CB224040A0336953834C40EC51B81E85CB22409C51F355F2834C40ACADD85F76CF22409C51F355F2834C40ACADD85F76CF224040A0336953834C40EC51B81E85CB224040A0336953834C40
Attrup Havn,0103000020E6100000010000000600000061191BBAD9E7224014AE47E17A844C4061191BBAD9E7224085EB51B81E854C400AD7A3703DEA224085EB51B81E854C400AD7A3703DEA224014AE47E17A844C4036751E15FFE7224014AE47E17A844C4061191BBAD9E7224014AE47E17A844C40
Løgstør Havn,0103000020E610000001000000060000007C0BEBC6BB7B2240BABC395CAB7B4C407C0BEBC6BB7B22400EA0DFF76F7C4C4046EA3D95D38622400EA0DFF76F7C4C4046EA3D95D3862240BABC395CAB7B4C40BA4C4D82377C2240BABC395CAB7B4C407C0BEBC6BB7B2240BABC395CAB7B4C40
Amtoft,0103000020E61000000100000006000000FBB2B45373E121408D976E1283804C40FBB2B45373E12140317BD976DA804C406ABC749318E42140317BD976DA804C406ABC749318E421408D976E1283804C40CCB8A981E6E321408D976E1283804C40FBB2B45373E121408D976E1283804C40
Nibe Lystbådehavn,0103000020E610000001000000060000006F1283C0CA412340AE47E17A147E4C406F1283C0CA4123401F85EB51B87E4C408195438B6C4723401F85EB51B87E4C408195438B6C472340AE47E17A147E4C402C4A09C1AA422340AE47E17A147E4C406F1283C0CA412340AE47E17A147E4C40
Gjøl Fiskeri- og Lystbådehavn,0103000020E6100000010000000600000068B3EA73B56523403A05F9D9C8874C4068B3EA73B5652340F8E0B54B1B884C409833DB15FA682340F8E0B54B1B884C409833DB15FA6823403A05F9D9C8874C40910A630B416623403A05F9D9C8874C4068B3EA73B56523403A05F9D9C8874C40
Aalborg,0103000020E6100000010000000A0000007D7901F6D1292440969526A5A0834C40D6390664AFC72340969526A5A0834C40D6390664AFC72340598B4F0130864C400C3CF71E2EB92340598B4F0130864C400C3CF71E2EB923406362F3716D884C40D6390664AFC723406362F3716D884C40D6390664AFC72340693524EEB18C4C407D7901F6D1292440693524EEB18C4C407D7901F6D12924407C9BFEEC47864C407D7901F6D1292440969526A5A0834C40
Mou Bro,0103000020E6100000010000000600000033333333337324404C378941607D4C403333333333732440F6285C8FC27D4C4016A5846055752440F6285C8FC27D4C4016A58460557524404C378941607D4C4063B66455847324404C378941607D4C4033333333337324404C378941607D4C40
Asaa Havn,0103000020E610000001000000060000007CB779E3A4D82440BBB4E1B034924C407CB779E3A4D824405ED89AADBC924C40A379008BFCE224405ED89AADBC924C40A379008BFCE22440BBB4E1B034924C4063635E471CDA2440BBB4E1B034924C407CB779E3A4D82440BBB4E1B034924C40
Voerså Fiskerleje,0103000020E610000001000000060000005C8FC2F528FC2440A2B8E34D7E994C405C8FC2F528FC2440F69B89E9429A4C40A4703D0AD7032540F69B89E9429A4C40A4703D0AD7032540A2B8E34D7E994C407978CF81E5002540A2B8E34D7E994C405C8FC2F528FC2440A2B8E34D7E994C40
