cell_id,min_lon,max_lon,min_lat,max_lat
1_1,3.0,3.803221186656217,53.0,53.44915558749551
1_2,3.803221186656217,4.606442373312434,53.0,53.44915558749551
1_3,4.606442373312434,5.40966355996865,53.0,53.44915558749551
1_4,5.40966355996865,6.212884746624867,53.0,53.44915558749551
1_5,6.212884746624868,7.016105933281084,53.0,53.44915558749551
1_6,7.016105933281084,7.8193271199373005,53.0,53.44915558749551
1_7,7.8193271199373005,8.622548306593517,53.0,53.44915558749551
1_8,8.622548306593519,9.425769493249735,53.0,53.44915558749551
1_9,9.425769493249735,10.228990679905952,53.0,53.44915558749551
1_10,10.228990679905952,11.032211866562168,53.0,53.44915558749551
1_11,11.032211866562168,11.835433053218384,53.0,53.44915558749551
1_12,11.835433053218384,12.638654239874601,53.0,53.44915558749551
1_13,12.638654239874601,13.441875426530817,53.0,53.44915558749551
1_14,13.441875426530817,14.245096613187034,53.0,53.44915558749551
1_15,14.245096613187036,15.048317799843252,53.0,53.44915558749551
1_16,15.048317799843252,15.851538986499468,53.0,53.44915558749551
2_1,3.0,3.803221186656217,53.44915558749551,53.89831117499102
2_2,3.803221186656217,4.606442373312434,53.44915558749551,53.89831117499102
2_3,4.606442373312434,5.40966355996865,53.44915558749551,53.89831117499102
2_4,5.40966355996865,6.212884746624867,53.44915558749551,53.89831117499102
2_5,6.212884746624868,7.016105933281084,53.44915558749551,53.89831117499102
2_6,7.016105933281084,7.8193271199373005,53.44915558749551,53.89831117499102
2_7,7.8193271199373005,8.622548306593517,53.44915558749551,53.89831117499102
2_8,8.622548306593519,9.425769493249735,53.44915558749551,53.89831117499102
2_9,9.425769493249735,10.228990679905952,53.44915558749551,53.89831117499102
2_10,10.228990679905952,11.032211866562168,53.44915558749551,53.89831117499102
2_11,11.032211866562168,11.835433053218384,53.44915558749551,53.89831117499102
2_12,11.835433053218384,12.638654239874601,53.44915558749551,53.89831117499102
2_13,12.638654239874601,13.441875426530817,53.44915558749551,53.89831117499102
2_14,13.441875426530817,14.245096613187034,53.44915558749551,53.89831117499102
2_15,14.245096613187036,15.048317799843252,53.44915558749551,53.89831117499102
2_16,15.048317799843252,15.851538986499468,53.44915558749551,53.89831117499102
3_1,3.0,3.803221186656217,53.898311174991015,54.347466762486526
3_2,3.803221186656217,4.606442373312434,53.898311174991015,54.347466762486526
3_3,4.606442373312434,5.40966355996865,53.898311174991015,54.347466762486526
