,total,average,median,max,min,quantile 25%,quantile 50%,quantile 75%
position_reports,1489884660.0,1826.2732316261465,651.0,39924.0,2.0,158.0,,2507.0
distance_travelled_m,80985367191.30644,99270.37456369093,29506.381511250074,36893632.36137736,0.05940973727001501,7110.912240292451,,129460.45428688568
trajectories,815806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
